substance name,half life [day],target class,chemical class,plant class,SMILES,is_valid
"2,4,5-T",8.0,herbicide,chlorophenoxy acid,weeds,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,True
"2,4,5-T",9.6,herbicide,chlorophenoxy acid,weeds,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,True
"2,4,5-T",14.7,herbicide,chlorophenoxy acid,weeds,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,True
"2,4-D",3.0,herbicide,alkylchlorophenoxy,weeds,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,True
"2,4-D",8.3,herbicide,alkylchlorophenoxy,weeds,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,True
"2,4-D",8.8,herbicide,alkylchlorophenoxy,weeds,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,True
"2,4-D",2.4,herbicide,alkylchlorophenoxy,weeds,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,True
"2,4-D",1.1,herbicide,alkylchlorophenoxy,weeds,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,True
"2,4-D",13.08,herbicide,alkylchlorophenoxy,ornamentals,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,True
"2,4-D",1.0,herbicide,alkylchlorophenoxy,cereals,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,True
"2,4-D",1.05,herbicide,alkylchlorophenoxy,cereals,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,True
"2,4-D",1.17,herbicide,alkylchlorophenoxy,cereals,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,True
"2,4-D-dimethylammonium",1.61,herbicide,alkylchlorophenoxy,cereals,CNC.C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,True
"2,4-D-dimethylammonium",1.69,herbicide,alkylchlorophenoxy,cereals,CNC.C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,True
"2,4-D-dimethylammonium",1.73,herbicide,alkylchlorophenoxy,cereals,CNC.C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,True
"2,4-D-dimethylammonium",1.82,herbicide,alkylchlorophenoxy,cereals,CNC.C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,True
2-Diethylaminoethyl hexanoate,0.3,plant growth regulator,unclassified,leafy crops,CCCCCC(=O)OCCN(CC)CC,True
2-Diethylaminoethyl hexanoate,1.1,plant growth regulator,unclassified,leafy crops,CCCCCC(=O)OCCN(CC)CC,True
2-Diethylaminoethyl hexanoate,5.3,plant growth regulator,unclassified,other,CCCCCC(=O)OCCN(CC)CC,True
2-Diethylaminoethyl hexanoate,8.2,plant growth regulator,unclassified,other,CCCCCC(=O)OCCN(CC)CC,True
2-Diethylaminoethyl hexanoate,0.56,plant growth regulator,unclassified,leafy crops,CCCCCC(=O)OCCN(CC)CC,True
2-Diethylaminoethyl hexanoate,1.1,plant growth regulator,unclassified,leafy crops,CCCCCC(=O)OCCN(CC)CC,True
2-Diethylaminoethyl hexanoate,1.9,plant growth regulator,unclassified,leafy crops,CCCCCC(=O)OCCN(CC)CC,True
2-Diethylaminoethyl hexanoate,2.1,plant growth regulator,unclassified,leafy crops,CCCCCC(=O)OCCN(CC)CC,True
3-hydroxycarbofuran,7.0,,unclassified,fruits,CC1(C(C2=C(O1)C(=CC=C2)OC(=O)NC)O)C,True
3-hydroxycarbofuran,11.0,,unclassified,fruits,CC1(C(C2=C(O1)C(=CC=C2)OC(=O)NC)O)C,True
3-hydroxycarbofuran,12.0,,unclassified,fruits,CC1(C(C2=C(O1)C(=CC=C2)OC(=O)NC)O)C,True
3-hydroxycarbofuran,16.0,,unclassified,fruits,CC1(C(C2=C(O1)C(=CC=C2)OC(=O)NC)O)C,True
3-hydroxycarbofuran,12.0,,unclassified,fruits,CC1(C(C2=C(O1)C(=CC=C2)OC(=O)NC)O)C,True
3-hydroxycarbofuran,43.0,,unclassified,fruits,CC1(C(C2=C(O1)C(=CC=C2)OC(=O)NC)O)C,True
abamectin,1.4,insecticide,microorganism derived,leafy crops,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,True
abamectin,1.5,insecticide,microorganism derived,leafy crops,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,True
abamectin,1.6,insecticide,microorganism derived,leafy crops,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,True
