AGCHM_ENG_NM,LIVESTCK_PISN_RATG_ENG,ECOLGY_PISN_RATG_ENG,livestock_level,ecology_level,SMILES,REFINE_WGS84_LAT,REFINE_WGS84_LOGT,is_valid,PURPOS_NM,DEASEINS_DTLS,CROPS_DTLS
Benzobicyclon+Pyrazosulfuron-ethyl+Pyriminobac-methyl,Low Toxicity (IV),Rank III,0.01,0.0625,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2=C(C3CCC(C3)C2=O)SC4=CC=CC=C4)Cl.CCOC(=O)C1=C(N(N=C1)C)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC.CC(=NOC)C1=C(C(=CC=C1)OC2=NC(=CC(=N2)OC)OC)C(=O)OC,37.303252115,126.7681510928,True,제초제,"일년생잡초(피,물달개비,밭뚝외풀,여뀌바늘,마디꽃,자귀풀,사마귀풀) 및 다년생잡초(벗풀,올방개,올챙이고랭이)",담수직파벼(표면산파)
Polyoxin D,Low Toxicity (IV),Rank III,0.01,0.0625,[SMILES_NOT_FOUND: Polyoxin D],37.3834691837,127.1226706167,False,살균제,잿빛곰팡이병,가지
Fenquinotrione+Imazosulfuron+Pyriminobac-methyl,Low Toxicity (IV),Rank III,0.01,0.0625,COC1=CC=C(C=C1)N2C3=C(C(=CC=C3)Cl)N=C(C2=O)C(=O)C4C(=O)CCCC4=O.COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(N=C3N2C=CC=C3)Cl)OC.CC(=NOC)C1=C(C(=CC=C1)OC2=NC(=CC(=N2)OC)OC)C(=O)OC,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피,물달개비,밭뚝외풀,알방동사니,가막사리,여뀌바늘) 및 다년생잡초(올방개,올챙이고랭이,벗풀)","기계이앙벼(어린모,중기)"
Fentrazamide+Metazosulfuron,Low Toxicity (IV),Rank III,0.01,0.0625,CCN(C1CCCCC1)C(=O)N2C(=O)N(N=N2)C3=CC=CC=C3Cl.CC1CON=C(O1)C2=C(N(N=C2Cl)C)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC,37.3834691837,127.1226706167,True,제초제,"일년생(피,물달개비,알방동사니,자귀풀,여뀌바늘) 및 다년생 (올방개,올챙이고랭이,벗풀)잡초","담수직파(표면산파,중기)"
Fenoxasulfone+Fenquinotrione+Imazosulfuron,Low Toxicity (IV),Rank III,0.01,0.0625,CCOC1=C(C=C(C(=C1)Cl)CS(=O)(=O)C2=NOC(C2)(C)C)Cl.COC1=CC=C(C=C1)N2C3=C(C(=CC=C3)Cl)N=C(C2=O)C(=O)C4C(=O)CCCC4=O.COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(N=C3N2C=CC=C3)Cl)OC,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피, 물달개비, 알방동사니, 가막사리, 여뀌바늘) 및 다년생잡초(벗풀, 올방개, 올챙이고랭이)","기계이앙벼(어린모,중기)"
Tebuconazole+Trifloxystrobin,Low Toxicity (IV),Rank I,0.01,1.0,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O.CC(=NOCC1=CC=CC=C1C(=NOC)C(=O)OC)C2=CC(=CC=C2)C(F)(F)F,37.4339530685,127.1701632418,True,살균제,줄기썩음병,대추
Etoxazole,Low Toxicity (IV),Rank III,0.01,0.0625,CCOC1=C(C=CC(=C1)C(C)(C)C)C2COC(=N2)C3=C(C=CC=C3F)F,37.4339530685,127.1701632418,True,살충제,차응애,복분자
Tebuconazole,Low Toxicity (IV),Rank III,0.01,0.0625,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,37.6668404232,127.1178163784,True,살균제,설부소립균핵병,잔디
Flonicamid,Low Toxicity (IV),Rank III,0.01,0.0625,C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N,,,True,살충제,조팝나무진딧물,감귤
Chlorothalonil+Cyazofamid,Low Toxicity (IV),Rank I,0.01,1.0,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl.CC1=CC=C(C=C1)C2=C(N=C(N2S(=O)(=O)N(C)C)C#N)Cl,,,True,살균제,역병,수박(복수박포함)
